Model,permno,uid,evtdate,date,evttime,ret,abret
Market Model,10909,10909-01NOV2019,2019-11-01,2019-11-06,3,-0.003570897,-0.005425217
Market Model,10909,10909-17SEP2020,2020-09-17,2020-09-14,-3,0.0139534884,0.0050365274
Market Model,10909,10909-17SEP2020,2020-09-17,2020-09-15,-2,-0.003336113,-0.005989662
Market Model,10909,10909-17SEP2020,2020-09-17,2020-09-16,-1,0.010041841,0.0134036497
Market Model,10909,10909-17SEP2020,2020-09-17,2020-09-17,0,-0.008837338,-0.0026849
Market Model,10909,10909-17SEP2020,2020-09-17,2020-09-18,1,-0.026887712,-0.020487218
Market Model,10909,10909-17SEP2020,2020-09-17,2020-09-21,2,-0.016463851,-0.008947105
Market Model,10909,10909-17SEP2020,2020-09-17,2020-09-22,3,-0.001018923,-0.006401087
Market Model,10909,10909-23JUN2020,2020-06-23,2020-06-18,-3,0.0015802327,0.000013232
Market Model,10909,10909-23JUN2020,2020-06-23,2020-06-19,-2,0.0496270797,0.0515685683
Market Model,10909,10909-23JUN2020,2020-06-23,2020-06-22,-1,-0.027056573,-0.03157516
Market Model,10909,10909-23JUN2020,2020-06-23,2020-06-23,0,-0.002106742,-0.004954619
Market Model,10909,10909-23JUN2020,2020-06-23,2020-06-24,1,-0.033779029,-0.019752744
Market Model,10909,10909-23JUN2020,2020-06-23,2020-06-25,2,-0.004224326,-0.011081906
Market Model,10909,10909-23JUN2020,2020-06-23,2020-06-26,3,-0.026623757,-0.013655587
Market Model,10909,10909-31JUL2019,2019-07-31,2019-07-26,-3,0.0026055952,-0.005966048
Market Model,10909,10909-31JUL2019,2019-07-31,2019-07-29,-2,0.0076596909,0.008780269
Market Model,10909,10909-31JUL2019,2019-07-31,2019-07-30,-1,-0.001085924,-0.001240638
Market Model,10909,10909-31JUL2019,2019-07-31,2019-07-31,0,-0.026362277,-0.01861018
Market Model,10909,10909-31JUL2019,2019-07-31,2019-08-01,1,0.0039078856,0.0111498665
