WARN#,Company Name,City,State,Layoff Date,Laid Off,Layoff Type,Received Date
8438,BayFirst Financial,St. Petersburg,FL,11/25/2022,58,Large Layoff - 10 or more workers,09/23/2022
8437,"Laird Superfood, Inc",Sisters,OR,12/12/2022,46,Large Layoff - 10 or more workers,10/12/2022
8435,"Beauty Systems Group, LLC, DBA CosmoPro",Clackamas,OR,12/16/2022,60,Large Layoff - 10 or more workers,10/11/2022
8426,"Tegra, DBA Latitudes LLC",Portland,OR,11/04/2022,48,Permanent closure,09/08/2022
8424,DENNIS Uniform,Portland,OR,11/01/2022,71,Large Layoff - 10 or more workers,08/30/2022
8417,"Columbia Steel Casting Co., Inc.",Portland,OR,10/22/2022,225,Permanent closure,08/22/2022
8394,RR Donnelley,Medford,OR,09/11/2022,97,Permanent closure,07/13/2022
8388,Center for Autism and Related Disorders,Plano,TX,08/29/2022,156,Permanent closure,06/29/2022
8377,"Dr. Martens Airway USA, LLC - Anchor Pa",Portland,OR,10/31/2022,31,Permanent closure,05/18/2022
8377,"Dr. Martens Airway USA, LLC - Anchor Pa",Portland,OR,09/01/2022,40,Permanent closure,05/18/2022
8356,"ARS-Fresno, LLC.",Carlsbad,CA,05/31/2022,163,Large Layoff - 10 or more workers,03/30/2022
8341,Peloton,Portland,OR,02/08/2022,54,Permanent closure,02/08/2022
8335,Boyd Corporation,Portland,OR,04/01/2022,40,Permanent closure,01/17/2022
8330,GP Downs LLC dba The Flying Lark,Grants Pass,OR,02/28/2022,226,Permanent closure,01/07/2022
8330,GP Downs LLC dba The Flying Lark,Grants Pass,OR,02/28/2022,43,Permanent closure,01/07/2022
8319,Hematology Oncology Associates PC,Medford,OR,12/31/2021,95,Permanent closure,10/22/2021
8294,Eclipse Senior Living Support Center,Lake Oswego,OR,12/01/2021,171,Permanent closure,10/01/2021
8281,Sulzer,Portland,OR,08/26/2022,10,Permanent closure,09/10/2021
8281,Sulzer,Portland,OR,07/01/2022,16,Permanent closure,09/10/2021
8281,Sulzer,Portland,OR,04/29/2022,5,Permanent closure,09/10/2021
8281,Sulzer,Portland,OR,04/01/2022,6,Permanent closure,09/10/2021
8281,Sulzer,Portland,OR,01/14/2022,12,Permanent closure,09/10/2021
8281,Sulzer,Portland,OR,11/12/2021,14,Permanent closure,09/10/2021
8274,4 Leaf LLC,Portland,OR,09/30/2021,63,Permanent closure,09/17/2021
8260,Lifeways - Umatilla County,Pendleton,OR,10/13/2021,100,Permanent closure,08/13/2021
8254,First Transit - Portland,Portland,OR,09/30/2021,170,Permanent closure,07/30/2021
8254,First Transit - Multnomah,Portland,OR,09/30/2021,127,Permanent closure,07/30/2021
8254,First Transit - Beaverton,Beaverton,OR,09/30/2021,99,Permanent closure,07/30/2021
8251,Aramark,Nashville,TN,08/31/2021,402,Permanent closure,07/22/2021
8240,Mentor Oregon,Portland,OR,09/30/2021,177,Permanent closure,07/06/2021
8106,Thriftbooks - Portland Processing Cente,Portland,OR,06/01/2021,70,Permanent closure,04/22/2021
8099,DSU-Peterbuilt & GMC Inc,Portland,OR,05/31/2021,260,Other,04/05/2021
8068,PERFORMANT,Grants Pass,OR,04/25/2021,60,Reduction,02/26/2021
8068,PERFORMANT,Grants Pass,OR,03/01/2021,31,Reduction,02/26/2021
7843,Simple,Portland,OR,06/11/2021,47,Permanent closure,01/29/2021
7843,Simple,Portland,OR,05/14/2021,95,Permanent closure,01/29/2021
7843,Simple,Portland,OR,05/07/2021,1,Permanent closure,01/29/2021
7843,Simple,Portland,OR,04/02/2021,37,Permanent closure,01/29/2021
7842,azlo,Portland,OR,04/02/2021,122,Permanent closure,01/29/2021
7811,SunPower,Hillsboro,OR,09/30/2021,9,Permanent closure,01/07/2021
7811,SunPower,Hillsboro,OR,03/09/2021,172,Permanent closure,01/07/2021
7796,NPL - Central Point - Grants Pass,Grants Pass,OR,02/15/2021,67,Permanent closure,12/15/2020
7583,Southwest Airlines,Portland,OR,03/15/2021,85,Large Layoff - 10 or more workers,12/03/2020
7578,Villasport,Beaverton,OR,01/18/2021,66,Reduction,11/25/2020
7510,Providence,Portland,OR,01/15/2021,177,Other,11/16/2020
7510,Providence,Portland,OR,01/15/2021,5,Reduction,11/16/2020
7508,Elmer's Restaurants,Portland,OR,11/13/2020,280,Temporary Layoff,11/13/2020
7436,Macy's Inc,Portland,OR,01/18/2021,83,Permanent closure,11/16/2020
7401,SYUFY Enterprises - VillaSport,Beaverton,OR,12/21/2020,59,Reduction,10/23/2020
7332,DoubleTree - Hilton Portland,Portland,OR,09/30/2020,59,Reduction,09/30/2020
7309,Boise Cascade - Elgin Plywood Facility,Elgin,OR,01/01/2021,229,Permanent closure,11/16/2020
7241,SP+,Portland,OR,03/24/2020,89,Reduction,09/25/2020
7218,Sodexo - Gresham-Barlow SD,Gresham,OR,03/13/2020,85,Temporary Layoff,09/17/2020
7218,Sodexo - Salem-Keizer SD,Salem,OR,03/13/2020,358,Temporary Layoff,09/17/2020
7218,Sodexo - Medford SD,Medford,OR,03/13/2020,111,Temporary Layoff,09/17/2020
7217,PF Chang's,Hillsboro,OR,09/18/2020,75,Other,09/18/2020
7217,PF Chang's - Eugene,Eugene,OR,09/18/2020,75,Other,09/18/2020
7215,LAGS Medical Center - Salem,Salem,OR,11/02/2020,4,Small Layoff  1 – 10 workers,09/03/2020
7215,LAGS Medical Center - Portland,Portland,OR,11/02/2020,7,Small Layoff  1 – 10 workers,09/03/2020
7211,Bon Appetit,Portland,OR,09/30/2020,224,Other,09/01/2020
7211,Bon Appetit,Portland,OR,09/30/2020,170,Reduction,09/01/2020
7209,Dave & Buster's,Happy Valley,OR,11/08/2020,84,Reduction,09/08/2020
7207,PGE - Boardman,Boardman,OR,11/05/2020,22,Permanent closure,09/01/2020
7199,LAIKA,Hillsboro,OR,09/01/2020,50,Large Layoff - 10 or more workers,08/14/2020
7192,HMSHost,Portland,OR,10/15/2020,51,Reduction,08/11/2020
7186,Nike (Lifeworks) - Beaverton,Beaverton,OR,10/20/2020,66,Reduction,07/20/2020
7186,Nike (Lifeworks) - Hillsboro,Hillsboro,OR,09/25/2020,23,Reduction,07/20/2020
7186,Nike (Lifeworks) - Beaverton,Beaverton,OR,09/25/2020,355,Reduction,07/20/2020
7185,Alaska Airlines - Portland Internationa,Portland,OR,10/01/2020,277,Reduction,07/29/2020
7184,Embassy Suites Portland-Downtown,Portland,OR,03/20/2020,70,Large Layoff - 10 or more workers,07/31/2020
7171,"LSG Group - Sky Chefs, Inc",Portland,OR,10/01/2020,193,Large Layoff - 10 or more workers,07/31/2020
7162,Nike,Beaverton,OR,10/01/2020,308,Reduction,07/23/2020
7162,Nike - Childcare,Beaverton,OR,10/01/2020,192,Reduction,07/23/2020
7162,Nike,Beaverton,OR,07/23/2020,700,Reduction,07/23/2020
7151,American Queen Steamboat Company,New Albany,IN,09/24/2020,250,Large Layoff - 10 or more workers,07/22/2020
7135,Vesta,Lake Oswego,OR,07/22/2020,20,Permanent closure,07/22/2020
7134,Pioneer Pacific College,Portland,OR,07/31/2020,41,Permanent closure,07/21/2020
7134,Pioneer Pacific College - Beaverton,Beaverton,OR,07/31/2020,39,Permanent closure,07/21/2020
7134,Pioneer Pacific College - Springfield,Springfield,OR,07/31/2020,51,Permanent closure,07/21/2020
7071,United - PDX,Portland,OR,10/01/2020,119,Reduction,07/08/2020
7071,United - PDX,Portland,OR,10/01/2020,3,Reduction,07/08/2020
7070,arauco - Albany,Albany,OR,07/06/2020,75,Reduction,07/06/2020
7057,Hampton Inn & Suites - Portland,Portland,OR,06/30/2020,41,Reduction,07/06/2020
7056,Atrium Hospitality - Portland Embassy S,Portland,OR,03/12/2020,105,Other,05/13/2020
7052,Hilton Portland Downtown,Portland,OR,03/22/2020,330,Other,06/30/2020
6991,The Coca -Cola Company Odwalla's - Port,Portland,OR,08/31/2020,30,Permanent closure,06/30/2020
6987,Levy Premium Foodservice...LLC,Portland,OR,08/01/2020,54,Reduction,06/24/2020
6967,Hyatt Regency - Portland,Portland,OR,01/13/2021,2,Temporary Layoff,06/19/2020
6967,Hyatt Regency - Portland,Portland,OR,11/01/2020,1,Reduction,06/19/2020
6967,Hyatt Regency - Portland,Portland,OR,10/30/2020,4,Reduction,06/19/2020
6967,Hyatt Regency - Portland,Portland,OR,09/04/2020,8,Temporary Layoff,06/19/2020
6967,Hyatt Regency - Portland,Portland,OR,03/20/2020,181,Temporary Layoff,06/19/2020
6964,The Bay Company - Portland,Tigard,OR,09/29/2020,125,Other,06/09/2020
6964,The Bay Company - Portland,Tigard,OR,04/15/2020,289,Large Layoff - 10 or more workers,06/09/2020
6963,Kimpton Hotel Monaco Portland,Portland,OR,03/13/2020,147,Large Layoff - 10 or more workers,06/12/2020
6963,Kimpton Riverplace Hotel,Portland,OR,03/13/2020,79,Large Layoff - 10 or more workers,06/12/2020
6963,Kimpton Hotel Vintage Portland,Portland,OR,03/01/2020,94,Large Layoff - 10 or more workers,06/12/2020
6935,ATI Albany Operations,Albany,OR,12/07/2020,76,Permanent closure,06/10/2020
6935,ATI Albany Operations,Albany,OR,10/26/2020,135,Large Layoff - 10 or more workers,06/10/2020
6903,PCC Structurals - Portland,Portland,OR,07/24/2020,94,Reduction,06/04/2020
6903,PCC Structurals - Clackamas,Clackamas,OR,04/15/2020,170,Reduction,06/04/2020
6903,PCC Structurals - Portland,Portland,OR,04/15/2020,547,Reduction,06/04/2020
6903,PCC Structurals - Redmond,Redmond,OR,04/13/2020,175,Large Layoff - 10 or more workers,06/04/2020
6875,"Continuum Global Solutions, LLC",Portland,OR,08/12/2020,255,Permanent closure,06/10/2020
6874,EVRAZ - Portland,Portland,OR,06/08/2020,65,Reduction,06/08/2020
6867,Marriott Portland Downtown Waterfront,Portland,OR,11/06/2020,145,Reduction,06/05/2020
6867,Marriott Portland Downtown Waterfront,Portland,OR,03/21/2020,248,Temporary Layoff,06/05/2020
6847,Benson Hotel,Portland,OR,06/01/2020,81,Reduction,06/01/2020
6846,Embassy Suites - Portland - Wash Sq,Tigard,OR,06/01/2020,7,Temporary Layoff,05/31/2020
6846,Embassy Suites - Portland - Wash Sq,Tigard,OR,03/29/2020,81,Temporary Layoff,05/31/2020
6751,Interfor - Gilchrist Division,Gilchrist,OR,06/01/2020,131,Temporary Layoff,05/19/2020
6596,Nordstrom - Clackamas Town Center,Happy Valley,OR,06/01/2020,189,Permanent closure,05/11/2020
6551,Bright Wood,Madras,OR,03/23/2020,199,Large Layoff - 10 or more workers,05/04/2020
6551,Bright Wood - Redmond,Redmond,OR,03/23/2020,12,Large Layoff - 10 or more workers,05/04/2020
6469,Multnomah Street Property,Portland,OR,03/26/2020,20,Permanent closure,04/29/2020
6469,IVI Hotel Management of Oregon - Innven,Tukwila,WA,03/20/2020,350,Reduction,04/29/2020
6469,IVI Hotel Management of Oregon - Innven,Tukwila,WA,03/20/2020,18,Other,04/29/2020
6468,DAKINE,Hood River,OR,05/15/2020,39,Permanent closure,05/01/2020
6465,Portland Art Museum,Portland,OR,07/01/2020,96,Reduction,04/28/2020
6462,Hertz,Estero,FL,06/18/2020,1,Reduction,04/24/2020
6462,Hertz - PDX,Portland,OR,05/20/2020,17,Temporary Layoff,04/24/2020
6462,Hertz - PDX,Portland,OR,04/14/2020,67,Large Layoff - 10 or more workers,04/24/2020
6352,Meggitt - Oregon Inc,Mcminnville,OR,05/18/2020,118,Large Layoff - 10 or more workers,04/30/2020
6321,Regal - Tigard,Tigard,OR,03/17/2020,68,Other,04/29/2020
6271,Adventist Health - Tillamook,Tillamook,OR,12/31/2020,7,Reduction,04/23/2020
6271,Adventist Health - Tillamook,Tillamook,OR,05/05/2020,15,Temporary Layoff,04/23/2020
6271,Adventist Health - Tillamook,Tillamook,OR,05/05/2020,2,Reduction,04/23/2020
6183,Enterprise Holdings - PDX,Portland,OR,04/30/2020,18,Reduction,04/23/2020
6183,Enterprise Holdings,Tualatin,OR,04/30/2020,14,Reduction,04/23/2020
6183,Enterprise Holdings - PDX,Portland,OR,03/19/2020,60,Temporary Layoff,04/23/2020
6183,Enterprise Holdings - Admin,Tualatin,OR,03/19/2020,262,Temporary Layoff,04/23/2020
6065,Visionworks,San Antonio,TX,04/20/2020,103,Other,04/23/2020
