WARN#,Company Name,City,State,Layoff Date,Laid Off,Layoff Type,Received Date
2124,SureID,Hillsboro,OR,06/19/2017,80,Large Layoff - 10 or more workers,06/19/2017
2124,SureID,Hillsboro,OR,05/08/2017,200,Large Layoff - 10 or more workers,06/19/2017
2122,SolarWorld,Hillsboro,OR,07/18/2017,360,Large Layoff - 10 or more workers,05/19/2017
2111,Convergys,Wilsonville,OR,05/05/2017,143,Large Layoff - 10 or more workers,02/15/2017
2110,Riverbend Annex,Springfield,OR,05/28/2017,85,Large Layoff - 10 or more workers,02/16/2017
2110,Riverbend Annex,Springfield,OR,04/30/2017,186,Large Layoff - 10 or more workers,02/16/2017
2107,SIS Inc - Facebook Site,Prineville,OR,01/31/2017,85,Large Layoff - 10 or more workers,01/09/2017
2104,UTI,Portland,OR,12/31/2016,96,Large Layoff - 10 or more workers,11/16/2016
2103,Experience Works Inc,Arlington,VA,11/07/2016,8,Large Layoff - 10 or more workers,11/07/2016
2101,Farmers Insurance,Hillsboro,OR,12/30/2016,50,Reduction,10/24/2016
2099,Portland International Airport,Portland,OR,10/19/2016,186,Large Layoff - 10 or more workers,08/22/2016
2095,Bank of America,Hillsboro,OR,09/04/2016,102,Reduction,07/11/2016
2093,WinCo Foods #03,Corvallis,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #13,Portland,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #15,Portland,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #20,Salem,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #28,Hillsboro,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #38,Independence,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #40,Hillsboro,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #44,Medford,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #132,Portland,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #09,Happy Valley,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #14,Beaverton,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #18,Salem,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #23,Tigard,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #34,Springfield,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #39,Eugene,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #41,Mcminnville,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #47,Gresham,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2093,WinCo Foods #138,Grants Pass,OR,08/31/2016,11,Large Layoff - 10 or more workers,06/30/2016
2090,Veritas,Springfield,OR,06/15/2016,50,Large Layoff - 10 or more workers,04/18/2016
2087,Intel,Santa Clara,CA,05/31/2016,784,Large Layoff - 10 or more workers,04/25/2016
2081,Pinnacle Workforce Logistics,Clackamas,OR,04/03/2016,190,Large Layoff - 10 or more workers,03/03/2016
2080,Aequitas Capital,Lake Oswego,OR,02/15/2016,80,Large Layoff - 10 or more workers,02/16/2016
2079,"Panasonic Eco Solutions Solar America,",Salem,OR,04/15/2016,50,Large Layoff - 10 or more workers,02/15/2016
2078,EVRAZ,Portland,OR,04/09/2016,230,Large Layoff - 10 or more workers,02/09/2016
2077,UTi,Portland,OR,03/29/2016,41,Large Layoff - 10 or more workers,02/02/2016
2075,Global Partners LP (Global) Columbia Pa,Clatskanie,OR,01/27/2016,50,Large Layoff - 10 or more workers,01/26/2016
2072,"Youth Villages, Christie Campus",Lake Oswego,OR,03/01/2016,74,Reduction,12/30/2015
2070,"Pacific States Plywood, Inc.",Springfield,OR,02/15/2016,39,Large Layoff - 10 or more workers,12/18/2015
2069,Greatbatch,Beaverton,OR,01/01/2016,140,Reduction,11/06/2015
8470,BOISE CASCADE ELGIN PLYWOOD MILL,ELGIN,OR,NA,NA,Large Layoff - 10 or more workers,12/14/2022
9324,"Zeco Systems, Inc. dba Shell EV Chargin",Los Angeles,CA,NA,NA,Large Layoff - 10 or more workers,08/18/2025
