"uid","permno","CAR_1_Day_Window","CAR_10_Day_Window","CAR_3_Day_Window","CAR_5_Day_Window"
"14185-11AUG2020",14185,0.1759419237,0.4988664674,0.310844788,0.3490513688
"14185-17APR2017",14185,0.0143773035,0.0266551862,0.079833859,0.0798794627
"14185-26APR2019",14185,-0.0615665242,0.0642066321,-0.0997536427,-0.0422545771
"14185-27JUN2019",14185,0.0564273336,0.1256607501,0.0568041144,0.1029395437
"14236-01FEB2016",14236,0.0046959608,-0.00681726999999997,0.1134988663,0.2154950116
"14240-04NOV2019",14240,0.0699182733,-0.0953752129,-0.1229892167,-0.1249370509
"14245-24JAN2023",14245,-0.035604447,0.3644191669,-0.0525193771,0.060914087
"14273-10JUN2015",14273,-0.0209213158,-0.0386139265,0.0260762405,-0.0212649374
"14276-15DEC2014",14276,-0.056914204,0.120954384,-0.0568042411,-0.0473927708
"14326-15FEB2023",14326,0.016861655,0.0310471475,-0.0499577102,0.0803124098
"14326-23FEB2023",14326,0.1098038646,0.0808497119,0.0847050555,0.0794363635
"14329-01JUN2015",14329,-0.000509976,-0.0484053981,-0.0216581302,-0.0199367086
"14329-14JUL2017",14329,0.0065922329,-0.0542233193,0.0052929971,0.0031866284
"14329-17MAR2022",14329,-0.0294143561,0.0114371039,-0.0501025723,0.000987811299999998
"14329-23DEC2014",14329,0.0252148624,0.0380337555,0.0432882149,0.0721448709
"14329-29JUL2021",14329,-0.0065522088,0.0077866624,0.0010373439,0.0104663027
"14329-30MAR2023",14329,-0.012693701,-0.0448443084,-0.0432476323,-0.0243866868
"14329-31MAY2016",14329,0.0113504412,-0.0141440932,-0.0032218032,-0.0036281225
"14339-28JAN2021",14339,-0.0244372816,0.3074224503,0.0469989366,0.25556708
"14359-17DEC2020",14359,-0.0668099034,0.0483390588,0.041251756,0.0633448295
"14457-22NOV2021",14457,-0.060145125,-0.09732812,-0.1151990147,-0.1180253648
"14459-30JAN2024",14459,0.2750671985,0.434365143,0.2567432158,0.3419881563
"14466-01JUL2024",14466,-0.112419741,0.8947024891,-0.1431345967,0.5901157621
"14530-13NOV2018",14530,-0.171681393,-0.6155802428,-0.516911656,-0.3435470055
"14531-11APR2022",14531,-0.0663811343,-1.0767057123,-0.0503992503,-0.2417908898
"14541-07APR2016",14541,0.032551982,-0.0027784267,0.028420109,-0.0103276987
"14541-08OCT2020",14541,-0.0254417209,-0.0675718628,-0.0404677667,-0.0310452824
"14541-25AUG2023",14541,0.0117219193,0.0576937912,-0.0110385085,0.0179928946
"14559-09JUL2015",14559,-0.028906123,-0.023607099,-0.000683601099999999,-0.0175974529
"14579-05JAN2018",14579,0.0206265858,0.0036028262,-0.0019379544,0.0150755858
"14580-02OCT2023",14580,-0.0037648211,-0.0831285858,0.0272514396,-0.0089791192
"14580-27FEB2023",14580,0.0014170732,-0.1686719957,-0.2362333997,-0.2747487556
"14580-28FEB2023",14580,-0.0178660063,-0.2136552092,-0.2980576903,-0.2532155459
"14589-26OCT2021",14589,0.0192094333,-0.03525833783,0.0212968133,-0.0033498832
"14593-01APR2023",14593,0.0091625743,0.0290300192,0.0149913328,-0.0249252991
"14593-02APR2024",14593,-0.0001649953,-0.0020819037,0.0012077752,-0.0093614906
"14593-28DEC2020",14593,0.0203640101,-0.0592423612,0.0088613517,-0.0015345524
"14596-20AUG2024",14596,0.0511728195,-0.1995709662,0.0630197139,0.0380235074
"14608-20MAR2020",14608,-0.2181278707,-0.4892699766,0.1140712172,-0.0633720461
"14609-30APR2020",14609,-0.032568656,0.0682892441,0.0846023848,0.0724298995
"14674-08JAN2019",14674,-0.0137807941,-0.0053923511,-0.0353957878,0.0342201807
"14674-20DEC2021",14674,0.0381549508,0.6773954937,0.107193302,0.1840264482
"14677-08JUN2020",14677,0.0282490013,0.1212863863,0.0618459277,0.0788534089
"14694-30OCT2024",14694,0.0547515278,0.1541972313,0.1033366554,0.096600264
"14697-14DEC2020",14697,NA,-0.0013915142,NA,NA
"14702-17NOV2013",14702,-0.0347456284,-0.0726923809,-0.037524678,-0.0518428001
"14702-19JAN2014",14702,-0.0001528148,-0.014218483,-0.0034832151,-0.0188523025
"14702-20NOV2013",14702,0.0185848699,-0.1002818556,-0.0235630302,-0.0446889141
"14702-30AUG2013",14702,0.0021077516,-0.0188861093,0.0117182855,-0.0288128641
"14707-22APR2020",14707,0.1277992202,0.1254695291,0.2337589802,0.2181222347
"14763-06MAR2024",14763,-0.0155639958,-0.0654003163,-0.001753486296,-0.0287297549
"14786-01JAN2021",14786,0.0032984216,-0.0855057967,-0.000882228300000004,0.0452323798
"14786-01JUN2020",14786,-0.0171010277,0.3823051874,0.2071131739,0.3136601513
"14786-01MAY2021",14786,0.0688369427,0.1321215683,0.1521755977,0.120432063
"14790-19JUL2022",14790,0.0277733927,0.1349381942,-0.1226056778,-0.0115571842
"14795-18OCT2012",14795,0.0415232625,0.1346620431,0.0545527854,0.1048325573
"14823-22OCT2024",14823,-0.0152876785,0.1386776071,-0.0050640439,0.11348654
"14828-11SEP2023",14828,0.1155144259,-0.0590690739,0.0426061102,0.0187918031
"14828-31OCT2024",14828,-0.24639707,-0.1355175614,-0.2014828822,-0.1294166432
"14836-03JUN2020",14836,0.0024683911,-0.0797722576,0.0243325359,0.0585120897
"14915-25AUG2017",14915,-0.0353141122,-0.0948502558,-0.0241698612,-0.0097862429
"14924-17DEC2024",14924,-0.0207870754,-0.0832032219,-0.1187250127,-0.0377684809
"14926-27SEP2016",14926,-0.0042232074,-0.0458947943,-0.020044643,-0.020036146
"14939-01AUG2017",14939,-0.0057037228,0.003656987,-0.0104409966,0.0089932873
"14941-09JUL2020",14941,-0.0051461355,0.0136587637,-0.0265727213,0.0381474247
"14942-04NOV2024",14942,0.0886349321,0.0356876457,0.1220176565,0.133123144
"14953-07MAR2023",14953,-0.0035684297,-0.0222788603,0.0255271598,0.0231988589
"14961-14APR2016",14961,0.044350138,0.7024965616,0.2537987982,0.4472153282
"14983-01FEB2024",14983,-0.0132167006,-0.1517852132,-0.1169577371,-0.1208286033
"14983-20JAN2023",14983,0.3487097855,0.5000404152,0.3073628168,0.4043045681
"14987-01APR2019",14987,0.0152778871,0.085346773,-0.0042943888,0.0272370815
"14987-03JUL2017",14987,0.0106016264,0.0543118893,0.016170886,0.0612002632
"14991-07FEB2022",14991,0.0134906864,-0.0509175205,-0.0304926239,-0.0458469238
"14991-29JAN2024",14991,0.0425346655,0.4034398187,0.3790921221,0.6918674416
"15014-01SEP2020",15014,0.0338774275,0.305565704,0.354227528,0.2925136361
"15014-06OCT2020",15014,-0.0584018037,0.1136809118,-0.0093273625,-0.1906881215
